mol_idx,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
1236,Cc1ccc(-c2cc(C(=O)Nc3cccc(S(N)(=O)=O)c3)c3ccccc3n2)cc1C,12.0,9.9838,2.3746,6.7106,-16.7762,-92.5007,-102.1405
1906,Cc1ccc(-c2cc(C(=O)Nc3ccc(S(=O)(=O)N(C)C)cc3)c3ccccc3n2)cc1C,3.4,12.7298,0.6311,6.9041,-14.6455,-93.543,-86.567
257,FC(F)(F)c1ccccc1-c1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,30.0,8.9023,0.7417,6.6774,-13.929,-77.9083,-76.4507
258,FC(F)(F)c1ccc(CNc2nc(-c3ccccc3C(F)(F)F)nc3ccccc23)cc1,30.0,9.7922,0.6622,9.0534,-11.8652,-97.3176,-86.1534
952,COc1ccc(-c2nc(NC(C)c3ccccc3)c3ccccc3n2)cc1,20.28,9.5436,0.5797,3.955,-17.2688,-62.9361,-74.2002
978,Fc1ccc(CNc2nc(-c3ccccc3C(F)(F)F)nc3ccccc23)cc1,19.83,9.0578,0.733,7.2494,-14.7243,-82.9206,-84.2481
1971,FC(F)(F)c1ccccc1-c1nc(NCc2cccc(Cl)c2)c2ccccc2n1,2.97,8.841,0.7343,6.6294,-13.9309,-77.2824,-75.9286
2013,FC(F)(F)c1ccccc1-c1nc(NCc2ccccc2)c2ccccc2n1,2.74,8.6425,0.6744,5.7197,-15.4696,-70.6676,-72.0149
2048,Fc1cccc(CNc2nc(-c3ccccc3C(F)(F)F)nc3ccccc23)c1,2.55,9.1887,0.7424,7.4242,-14.7222,-83.704,-83.5403
223,COc1ccc(-c2cnc(N3CCC(C(N)=O)CC3)s2)cc1OC,30.0,9.528,1.3905,7.0439,-6.7737,-94.287,-90.112
868,CC(C)Oc1cccc(-c2cnc(N3CCC(C(N)=O)CC3)s2)c1,23.0,9.2743,1.3167,5.9841,-5.2362,-83.8497,-81.2085
1377,NC(=O)C1CCN(c2ncc(-c3cccc(F)c3)s2)CC1,9.48,7.8556,1.4058,5.9425,-7.4026,-78.1412,-78.8824
1632,NC(=O)C1CCN(c2ncc(-c3ccc(Cl)cc3)s2)CC1,5.97,7.548,1.4266,5.1926,-6.6067,-72.4004,-72.209
1879,NC(=O)C1CCN(c2ncc(-c3ccc(Br)cc3)s2)CC1,3.6,7.5732,1.396,5.3038,-6.3503,-73.0717,-72.6328
2051,CC(=O)C1CCN(c2ncc(-c3cccc(N(C)C)c3)s2)CC1,2.51,9.5964,0.0,4.4733,-5.1987,-66.3715,-62.8285
2398,CSc1ccc(-c2cnc(N3CCC(C(N)=O)CC3)s2)cc1,1.53,8.1379,1.332,5.0681,-5.5319,-73.5905,-71.7363
54,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,30.0,5.3854,2.1991,7.2887,-7.6883,-79.1198,-81.7709
364,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,30.0,6.7573,2.734,5.9881,-9.4165,-84.1181,-93.5347
456,COc1ccc(NC(=O)c2c(C)cccc2C)cc1[S+](=O)([O-])N(C)C,30.0,10.9757,0.6496,7.9672,-1.4725,-92.4767,-73.743
710,CCOP(=O)(Cc1ccc(C(=O)Nc2ccc(Br)cc2C#N)cc1)OCC,30.0,11.0985,0.8603,8.086,-4.0691,-98.6462,-79.2223
1471,Cc1cccc(C)c1C(=O)Nc1cccc([S+](=O)([O-])N(C)C)c1,8.0,10.0867,0.6139,6.9313,-2.1554,-81.4605,-58.8847
1861,CCN(CC)S(=O)(=O)c1cccc(C(=O)Nc2ccc(C#N)cc2)c1,3.8,10.582,0.6698,6.678,-8.182,-89.6922,-78.4816
2004,COC(=O)c1ccccc1NC(=O)c1ccccc1OC(F)F,2.8,9.0174,1.2405,8.7896,-6.8747,-95.0783,-81.3575
988,NC(=O)C1CCN(c2nccc(-c3ccc(Br)cc3)n2)CC1,19.33,8.6057,1.3954,5.843,-6.9251,-83.4974,-74.9289
1258,CC(C)Oc1cccc(-c2ccnc(N3CCC(C(N)=O)CC3)n2)c1,11.58,10.3758,1.3625,6.5864,-5.8011,-95.1039,-84.6714
1446,Cc1cnc(N2CCC(C(N)=O)CC2)nc1-c1cccc(N(C)C)c1,8.45,10.2161,1.3058,5.8211,-5.9634,-91.7218,-81.0684
2098,Cc1ccc(-c2ccnc(N3CCC(C(N)=O)CC3)n2)cc1,2.35,8.7874,1.3476,4.9701,-7.7241,-77.1594,-69.2974
2332,CN(C)c1cccc(-c2ccnc(N3CCC(C(N)=O)CC3)n2)c1,1.67,9.9394,1.2966,5.8537,-6.9605,-91.7774,-82.7109
2431,CN(C)c1cccc(-c2nc(N3CCC(C(N)=O)CC3)ncc2F)c1,1.45,10.3733,1.3948,7.56,-6.2062,-104.7913,-88.9102
827,COc1ccc(C(=O)NC2CCCc3c2[nH]c2ccccc32)cc1OC,24.56,8.9328,1.204,5.9773,-13.4165,-78.0272,-87.7612
889,COc1ccc(C(=O)NC2CCCc3c2[nH]c2c(Cl)cccc32)cc1OC,22.38,9.0955,1.5386,6.8116,-11.8753,-85.0753,-93.3619
1252,COc1cc(C(=O)NC2CCCc3c2[nH]c2ccccc32)cc(OC)c1OC,11.79,10.2596,1.3994,7.4045,-12.7257,-93.811,-99.633
1322,O=C(NC1CCCc2c1[nH]c1ccccc21)c1ccccc1,10.07,6.9186,1.2404,3.3712,-14.7852,-50.8762,-65.6614
1447,COc1cc(C(=O)NC2CCCc3c2[nH]c2c(Cl)cccc32)cc(OC)c1OC,8.45,10.2615,1.4491,8.1136,-11.1936,-98.8549,-103.4167
2110,COc1ccccc1C(=O)NC1CCCc2c1[nH]c1c(Cl)cccc21,2.31,7.9008,1.744,5.6363,-12.5563,-72.5523,-85.1086
679,COc1ccc(NC(=O)c2cc(-c3ccc[nH]3)n[nH]2)cc1OC,30.0,7.3269,2.2321,6.9411,-13.6252,-94.6615,-104.8419
939,O=C(Nc1cccc(OC(F)(F)F)c1)c1cc(-c2ccc[nH]2)n[nH]1,20.94,6.0431,2.5823,7.7965,-11.7025,-96.0067,-94.4337
1067,O=C(Nc1ccc(F)cc1F)c1cc(-c2ccc[nH]2)n[nH]1,16.71,5.2034,2.8084,7.0562,-13.506,-86.5144,-100.0204
1378,O=C(Nc1cccc(F)c1)c1cc(-c2ccc[nH]2)n[nH]1,9.45,5.4512,2.3616,5.8469,-14.2515,-78.607,-92.8585
1580,CCc1cccc(NC(=O)c2cc(-c3ccc[nH]3)n[nH]2)c1,6.57,5.9636,2.3255,4.3975,-12.8867,-67.9814,-80.868
1618,Cc1ccc(NC(=O)c2cc(-c3ccc[nH]3)n[nH]2)cc1F,6.16,5.8758,2.4917,5.9082,-13.2537,-79.0194,-92.273
334,Cc1ccc2oc(NC3=NC(c4ccccc4Cl)C4=C(CCCC4=O)N3)nc2c1,30.0,8.4035,1.6232,6.1382,-18.0437,-85.0714,-96.1946
1269,CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC2c1ccccc1Cl,11.0,8.5064,1.6364,5.6902,-16.8086,-81.5675,-91.5313
1328,O=C1CCCC2=C1C(c1ccccc1C(F)(F)F)N=C(Nc1nc3ccccc3o1)N2,10.0,8.9682,1.7719,8.745,-16.9704,-104.6899,-106.1329
1369,O=C1CCCC2=C1C(c1ccccc1Br)N=C(Nc1nc3ccccc3o1)N2,9.6,7.8729,1.6779,5.3634,-18.7844,-78.4227,-90.3153
1386,O=C1CCCC2=C1C(c1ccccc1Cl)N=C(Nc1nc3ccccc3o1)N2,9.38,7.9647,1.7175,5.6274,-19.0463,-80.4728,-92.6419
1451,O=C1CCCC2=C1C(c1ccccc1I)N=C(Nc1nc3ccccc3o1)N2,8.4,7.6748,1.6389,4.8926,-18.3899,-75.2195,-86.7417
178,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,30.0,8.6772,0.0,5.3336,-14.9974,-77.9814,-71.4766
1297,Cn1nnnc1Sc1ncnc2scc(-c3ccc(F)cc3)c12,10.72,6.5141,0.0,4.1152,-16.0939,-59.9635,-62.5005
1708,Cn1nnnc1Sc1ncnc2scc(-c3ccccc3F)c12,5.28,6.3983,0.0,4.1988,-16.0908,-61.8658,-62.6662
1951,CC(=O)c1cccc(-c2csc3ncnc(Sc4nnnn4C)c23)c1,3.08,7.8119,0.0,4.2398,-16.3887,-66.23,-67.104
2356,Cc1nc(Sc2nnnn2C)c2c(-c3ccccc3)csc2n1,1.6,7.0548,0.0,3.2039,-15.8247,-56.7555,-51.9693
2448,CCn1nnnc1Sc1ncnc2scc(-c3ccc(C)cc3)c12,1.4,7.6459,0.0,3.3463,-14.7232,-59.0908,-51.2337
134,COc1cccc(C(=O)Nc2nc(-c3nnn(-c4ccccc4C(F)(F)F)c3C)ns2)c1,30.0,9.3305,0.819,8.3151,-15.2342,-101.4963,-102.3623
135,Cc1c(-c2nsc(NC(=O)c3cccc(Cl)c3)n2)nnn1-c1ccccc1C(F)(F)F,30.0,8.0395,0.9769,7.6023,-14.3783,-94.5708,-91.194
1009,COc1cccc(C(=O)Nc2nc(-c3nnn(-c4cccc(Cl)c4C)c3C)ns2)c1,18.64,9.7013,1.0084,6.6617,-16.2957,-93.513,-97.0825
1038,COc1cccc(C(=O)Nc2nc(-c3nnn(-c4cc(C)ccc4C)c3C)ns2)c1,17.61,9.7628,0.8053,5.7317,-16.8326,-86.0612,-92.5115
1217,CCc1cccc(-n2nnc(-c3nsc(NC(=O)c4cccc(OC)c4)n3)c2C)c1,12.76,9.6765,0.7624,5.8006,-16.7282,-86.0843,-89.4486
1292,CCc1ccc(-n2nnc(-c3nsc(NC(=O)c4ccccc4Cl)n3)c2C)cc1,10.9,8.3989,0.8353,4.841,-15.873,-74.0873,-78.0604
115,CCOc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2ccc(Br)cc2)cc1,30.0,10.8742,0.0,6.3783,-15.7093,-78.6067,-74.1119
742,CCOc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2cccc(Cl)c2)cc1,30.0,10.8092,0.0,6.2928,-15.9647,-78.1249,-72.8747
765,Cc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2ccc(Br)cc2)cc1,28.6,9.7203,0.0,4.9841,-16.5085,-63.8325,-59.0159
1039,Cc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2cccc(Cl)c2)cc1,17.6,9.3937,0.0,4.6691,-16.7744,-60.6793,-57.2134
1604,CSc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2ccc(Br)cc2)cc1,6.3,10.0899,0.0,5.5853,-14.8888,-69.9686,-64.1144
1888,CSc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2cccc(Cl)c2)cc1,3.54,9.9792,0.0,5.4443,-15.1475,-68.9707,-62.711
1467,Cc1cnc(-c2ccccc2C(F)F)nc1NCc1ccc(-c2cccnc2)cc1,8.1,10.4913,0.6479,5.7593,-15.7941,-78.7368,-85.5632
1543,Fc1cnc(-c2ccccc2C(F)F)nc1NCc1ccc(-c2cccnc2)cc1,7.1,10.6476,0.9396,7.6624,-16.033,-94.493,-93.942
1777,Cc1ccc(-c2ccc(CNc3nc(-c4ccccc4C(C)C)ncc3F)cc2)cn1,4.5,11.0451,0.8696,4.9311,-14.5421,-74.0192,-75.5422
1804,Cc1ccc(-c2ccc(CNc3nc(-c4ccccc4C(C)C)ncc3C)cc2)cn1,4.28,11.06,0.5956,3.2731,-14.3003,-61.5993,-69.6576
2118,CC(C)c1ccccc1-c1ncc(F)c(NC(C)(C)c2ccc(-c3cccnc3)cc2)n1,2.3,11.3965,0.8341,4.9929,-13.3031,-74.8309,-74.4395
1462,CC(=O)Nc1ccc(NC(=O)C(NS(=O)(=O)c2ccc(Br)s2)c2ccccc2)cc1,8.13,9.6665,2.3325,8.1292,-9.4884,-104.0326,-108.8202
1530,Cc1cc(Br)ccc1NC(=O)C(NS(=O)(=O)c1cccs1)c1ccccc1,7.26,8.6438,1.6317,6.1715,-8.7155,-77.8486,-80.2341
1702,O=C(Nc1ccc(Cl)cc1)C(NS(=O)(=O)c1cccs1)c1ccccc1,5.38,8.1237,1.7227,6.0878,-9.969,-77.6692,-82.3838
2184,CCOc1ccc(OCC)c(NC(=O)C(NS(=O)(=O)c2ccc(Br)s2)c2ccccc2)c1,2.04,11.0031,1.8545,8.8735,-6.1254,-106.4721,-107.352
2526,CCN(C(=O)C(NS(=O)(=O)c1ccc(Br)s1)c1ccccc1)c1ccc(C)c(C)c1,0.99,10.4686,1.0113,6.3359,-5.6175,-78.9703,-72.0439
1351,CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccccc2C)n2ncc(C(=O)Nc3ccc(C)cc3)c2N1,9.84,11.8203,2.0982,7.741,-21.1841,-108.5525,-126.6547
1819,CCOc1ccc(C2C(C(=O)Nc3ccccc3OC)=C(C)Nc3c(C(=O)Nc4cccc(C)c4)cnn32)cc1,4.18,13.8461,2.3152,9.8846,-21.2222,-133.5029,-151.8777
1916,COc1ccccc1NC(=O)C1=C(C)Nc2c(C(=O)Nc3ccc(F)cc3)cnn2C1c1ccc(Cl)cc1,3.34,12.358,2.384,10.5728,-21.7394,-133.7304,-152.7183
1969,COc1ccccc1NC(=O)C1=C(C)Nc2c(C(=O)Nc3cccc(C)c3)cnn2C1c1ccccc1Cl,2.98,12.3525,2.3636,8.8543,-21.4853,-119.7387,-138.5947
2011,CCc1ccc(C2C(C(=O)Nc3ccccc3OC)=C(C)Nc3c(C(=O)Nc4ccc(C)cc4)cnn32)cc1,2.75,13.0091,2.2781,8.3887,-20.9156,-117.7623,-135.6079
1310,Cc1nn(CCc2nc(-c3ccccc3)cs2)c2[nH]c(=O)cc(C(F)(F)F)c12,10.35,9.0324,0.8993,7.6559,-12.8334,-91.6479,-90.8501
1388,Cc1nn(CCc2nc(-c3ccccc3F)cs2)c2[nH]c(=O)cc(C(F)(F)F)c12,9.3,9.5849,0.9262,9.2282,-12.0843,-104.195,-102.8478
1553,Cc1nn(CCc2nc(-c3ccc(OC(F)F)cc3)cs2)c2[nH]c(=O)cc(C(F)(F)F)c12,6.9,10.6435,0.9391,10.6311,-10.4051,-118.2564,-106.0762
1733,COc1ccc(-c2csc(CCn3nc(C)c4c(C(F)(F)F)cc(=O)[nH]c43)n2)cc1,5.0,10.1789,0.8907,8.988,-12.1481,-105.7464,-104.7188
1766,Cc1ccc(-c2csc(CCn3nc(C)c4c(C(F)(F)F)cc(=O)[nH]c43)n2)cc1,4.7,9.8161,0.8974,7.9792,-11.8355,-95.5177,-91.8445
1210,O=[S+]([O-])(Nc1ccccc1)c1ccc(NCc2cccc(C(F)(F)F)c2Cl)cc1,13.0,9.1747,1.5127,8.594,-6.5798,-92.9927,-83.1457
1407,O=[S+]([O-])(Nc1ccccc1)c1ccc(NCc2cccc(C(F)(F)F)c2F)cc1,9.0,9.4692,1.5348,9.26,-7.3728,-98.3029,-90.6199
1778,O=[S+]([O-])(Nc1ccccc1)c1ccc(NCc2cccc(Cl)c2F)cc1,4.5,8.8086,1.3999,7.2279,-9.4347,-82.1328,-81.4915
2086,COc1cccc(CNc2ccc([S+](=O)([O-])Nc3ccccc3)cc2)c1Cl,2.4,9.5146,1.5657,7.229,-9.4867,-86.1451,-84.9467
2263,O=[S+]([O-])(Nc1ccccc1)c1ccc(NCc2ccc(Cl)cc2O)cc1,1.8,8.6366,2.3537,7.6724,-10.5073,-91.0621,-92.2604
1019,COC(=O)c1cc(Cl)ccc1NC(=O)CSc1ncc(S(=O)(=O)c2ccc(Br)cc2)c(=O)[nH]1,18.0,11.0241,2.0114,11.2483,-8.6417,-134.0324,-128.4404
1298,Cc1ccc(S(=O)(=O)c2cnc(SC(C)C(=O)Nc3ccccc3)[nH]c2=O)cc1,10.72,9.9006,1.5775,7.1865,-10.0117,-95.1195,-100.01
1599,COc1cc(Cl)c(C)cc1NC(=O)CSc1ncc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c(=O)[nH]1,6.38,12.3203,1.9623,10.0862,-4.5469,-123.423,-119.7204
1636,CC(C)(C)c1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccc(F)c(Cl)c3)[nH]c2=O)cc1,5.92,10.5277,1.5942,9.252,-5.5003,-110.9682,-109.067
1742,Cc1ccc(NC(=O)CSc2ncc(S(=O)(=O)c3ccc(C(C)C)cc3)c(=O)[nH]2)cc1C,4.98,11.4865,1.5889,8.0307,-6.894,-104.057,-102.4651
947,O=C1CCc2cc(S(=O)(=O)Nc3ccc(F)c(Cl)c3)ccc2N1,20.48,7.2417,1.9158,7.1995,-8.981,-85.2202,-86.9895
1065,O=C1CCc2cc(S(=O)(=O)Nc3ccc(F)c(Cl)c3)c(F)cc2N1,16.8,6.7611,2.0392,7.946,-8.2496,-88.776,-91.3846
1257,Cc1cc(NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)ccc1F,11.59,8.4226,1.8442,7.3819,-9.514,-87.6938,-89.8285
1743,Cc1ccc(Cl)cc1NS(=O)(=O)c1cc2c(cc1F)NC(=O)CC2,4.97,7.7685,1.819,7.401,-7.9872,-86.4608,-88.2001
2292,Cc1ccc(NS(=O)(=O)c2cc3c(cc2N[C@H](C)CO)NC(=O)CC3)cc1C,1.71,10.2645,3.1231,8.6225,-5.219,-111.7627,-109.3826
792,COc1ccc(Cl)cc1NC(=O)c1sc2nc3c(cc2c1N)N1CCC3CC1,26.43,7.6386,2.516,6.975,-19.8208,-95.4033,-112.2658
809,N#Cc1cccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)c1,25.58,7.2846,2.3992,5.5111,-27.0485,-87.2828,-111.6454
849,Nc1c(C(=O)Nc2ccc(Cl)cc2)sc2nc3c(cc12)N1CCC3CC1,23.99,6.8271,2.333,5.7346,-20.5044,-82.6689,-99.9046
893,Nc1c(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)sc2nc3c(cc12)N1CCC3CC1,22.12,7.1494,2.4727,8.1534,-16.9068,-100.1665,-105.9401
2490,CCOC(=O)c1ccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)cc1,1.21,9.7178,2.3323,8.0058,-20.786,-109.7878,-117.6011
760,O=C1C(c2ccc(C(F)(F)F)cc2)=C(Nc2ccc(Cl)cc2)c2ccccc21,29.25,8.2353,0.7536,6.6747,-15.1258,-71.092,-76.2671
1400,Cc1ccc(C)c(NC2=C(c3ccc(C(F)(F)F)cc3)C(=O)c3ccccc32)c1,9.11,9.1686,0.5677,6.262,-14.6718,-67.2204,-70.0477
1414,Cc1ccc(NC2=C(c3ccc(C(F)(F)F)cc3)C(=O)c3ccccc32)cc1F,8.96,9.18,0.7039,7.6816,-14.9213,-78.9346,-83.7435
1512,COc1ccc(NC2=C(c3ccc(C(F)(F)F)cc3)C(=O)c3ccccc32)cc1,7.57,9.58,0.6017,7.5675,-15.9762,-81.7668,-86.8593
1729,Cc1ccc(NC2=C(c3ccc(C(F)(F)F)cc3)C(=O)c3ccccc32)cc1C,5.08,9.1086,0.632,6.1804,-14.6711,-66.7299,-70.0485
692,COc1ccc(C(=O)N2CCCC(c3nn(-c4ccc(OC)cc4)c(=O)[nH]3)C2)cc1,30.0,12.4219,0.8433,8.7081,-13.1222,-113.703,-108.9495
693,COc1ccc(-n2nc(C3CCCN(C(=O)c4ccccc4)C3)[nH]c2=O)cc1,30.0,11.0837,0.8095,7.1264,-13.8122,-96.3725,-92.9333
701,COc1ccc(-n2nc(C3CCCN(C(=O)c4ccccc4F)C3)[nH]c2=O)cc1,30.0,11.3504,0.7722,8.4748,-13.0721,-106.2075,-103.2979
851,COc1ccc(-n2nc(C3CCCN(C(=O)c4ccc(C)cc4)C3)[nH]c2=O)cc1,23.89,11.5272,0.7654,7.2394,-12.8148,-97.853,-93.0406
861,COc1ccc(-n2nc(C3CCCN(C(=O)c4cccc(OC)c4)C3)[nH]c2=O)cc1,23.38,11.8785,0.9217,8.476,-13.1293,-109.9088,-106.5872
685,COc1ccc(-c2ccc3nc(-c4cc(C)cc(C)c4)oc3c2)c(OC)c1OC,30.0,10.584,0.0,6.1506,-15.8015,-74.3949,-73.5438
686,COc1ccc(-c2ccc3nc(-c4cc(F)cc(F)c4F)oc3c2)c(OC)c1OC,30.0,10.1364,0.0,9.5656,-15.5723,-98.6938,-99.6666
687,COc1ccc(-c2ccc3nc(-c4cc(F)ccc4F)oc3c2)c(OC)c1OC,30.0,10.3331,0.0,8.7407,-16.3096,-92.9187,-95.7678
688,COc1ccc(-c2ccc3nc(-c4ccccc4C)oc3c2)c(OC)c1OC,30.0,10.4057,0.0,6.1885,-16.7965,-74.8185,-74.6026
2267,COc1ccc(-c2ccc3nc(-c4ccc(SC)cc4)oc3c2)c(OC)c1OC,1.8,10.5893,0.0,6.7492,-15.1784,-80.7008,-79.8281
632,COCCNC(=O)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,30.0,10.6632,0.5575,7.3535,-15.6171,-96.4318,-104.3408
633,CC(=O)NCCNC(=O)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,30.0,11.2931,1.3503,8.3753,-17.4156,-112.5543,-122.2918
634,O=C(NCCCO)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,30.0,10.4368,1.3821,7.91,-15.5957,-103.0247,-111.0394
636,O=C(O)c1ccc(-c2ncc3cnc(-c4ccccc4)cn23)cc1,30.0,7.5837,0.8774,4.8094,-20.7152,-68.4954,-81.4034
943,NC(=O)c1ccc(-c2ncc3cnc(-c4cccc(F)c4)cn23)cc1,20.67,7.5482,1.6256,6.0205,-19.8219,-82.386,-94.9805
588,CN(C)C(=O)c1nc(-c2ccc(Cl)nc2)c2ccccn12,30.0,7.9125,0.0,4.9008,-11.2737,-70.057,-55.1169
831,C#CCNC(=O)c1nc(-c2ccc(Cl)nc2)c2ccccn12,24.04,6.7323,0.8987,4.656,-17.0901,-68.2574,-72.2734
980,CC(C)NC(=O)c1nc(-c2ccc(Cl)nc2)c2ccccn12,19.63,7.0442,0.6565,4.7426,-10.0402,-69.0916,-66.4988
1139,C#CCNC(=O)c1nc(-c2cccnc2)c2ccccn12,14.85,6.7476,0.7556,4.062,-18.6408,-63.7204,-72.0856
1764,COC(=O)CNC(=O)c1nc(-c2ccc(Cl)nc2)c2ccccn12,4.72,8.6348,1.0894,7.2675,-12.0196,-95.3838,-87.6716
578,COC(=O)CNC(=O)c1nc(-c2ccc([S+](C)(=O)[O-])cc2)c2cnccn12,30.0,11.2228,1.0638,10.0215,-10.4676,-121.1988,-104.4106
580,C#CCNC(=O)c1nc(-c2ccc([S+](C)(=O)[O-])cc2)c2cnccn12,30.0,9.09,0.7846,7.2315,-15.547,-91.9678,-88.4099
581,CN(C)C(=O)c1nc(-c2ccc(S(C)(=O)=O)cc2)c2cnccn12,30.0,9.9304,0.0,6.7224,-10.9937,-90.2138,-72.0333
1607,CN(C)C(=O)c1nc(-c2ccc(Cl)cc2Cl)c2cnccn12,6.29,7.8654,0.0,5.5674,-9.7453,-74.1339,-60.2415
1868,COC(=O)CNC(=O)c1nc(-c2ccc(Cl)cc2Cl)c2cnccn12,3.71,8.3426,0.9085,7.6206,-10.5009,-96.1402,-89.9698
460,O=C(Nc1ncc(Cc2ccccc2)s1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,30.0,8.624,0.8117,6.2895,-20.3427,-75.7619,-87.8263
463,O=C(Nc1ncc(Cc2ccc(C(F)(F)F)cc2)s1)c1ccc(-c2ccccc2[N+](=O)[O-])o1,30.0,9.6737,0.9865,9.6748,-16.7336,-102.3717,-101.5017
464,O=C(Nc1ncc(Cc2ccc(C(F)(F)F)cc2)s1)c1ccc(-c2ccccc2)o1,30.0,8.7321,0.9868,7.3214,-15.7605,-81.5062,-83.7823
465,O=C(Nc1ncc(Cc2cccc(C(F)(F)F)c2)s1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,30.0,9.6937,0.9628,9.4576,-16.7322,-100.6255,-100.8233
466,O=C(Nc1ncc(Cc2ccc(C(F)(F)F)cc2)s1)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,30.0,9.7007,0.9908,9.5597,-16.7314,-101.6504,-101.5384
275,Cc1ccnc(NC(=S)N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c1,30.0,9.999,0.7868,8.4299,-3.3703,-103.9547,-85.4983
277,COc1ccnc(NC(=S)N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c1,30.0,10.7554,0.7732,9.7488,-3.6826,-117.731,-99.543
771,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc(C(F)(F)F)n3)CC2)c1,28.0,10.1299,0.7178,7.6919,-3.8989,-98.0496,-77.6008
1113,Cc1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)n3)CC2)c1,15.0,9.1236,0.6421,7.0459,-4.9158,-90.7455,-73.3811
1233,COc1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)n3)CC2)c1,12.0,10.4816,0.7808,8.9288,-5.2141,-111.1882,-92.5184
268,Cc1cc(NS(=O)(=O)c2ccc(N(C)C(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1,30.0,9.5521,1.0686,7.7426,-8.4601,-95.1779,-87.7706
282,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccon2)cc1,30.0,7.9421,1.7936,7.5743,-10.4502,-94.2844,-96.1595
283,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(F)c3)cc2)no1,30.0,8.8058,1.7691,8.4963,-10.2408,-101.8283,-102.7215
285,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(F)c(Cl)c3)cc2)no1,30.0,8.8243,1.7654,8.5092,-10.2397,-102.0554,-102.8861
1362,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1,9.7,8.8935,1.6892,8.0004,-9.4399,-98.7875,-98.1837
236,CC1=C(C(=O)Nc2ccccc2Cl)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1,30.0,9.3007,2.5795,7.6453,-20.9333,-105.1368,-118.8249
786,CC1=C(C(=O)Nc2ccccc2)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1,27.0,9.5288,2.3157,7.0102,-22.4772,-100.5711,-116.0116
835,CC1=C(C(=O)Nc2ccccc2)C(c2ccccc2Cl)N=C(Nc2nc3ccccc3o2)N1,24.0,9.474,2.4053,6.9497,-22.7353,-100.4471,-115.8135
924,COc1ccc(NC(=O)C2=C(C)NC(Nc3nc4ccccc4o3)=NC2c2ccccc2Br)cc1,21.0,10.7301,2.3056,8.1807,-21.7902,-113.4707,-128.6093
1231,CC1=C(C(=O)Nc2ccccc2C)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1,12.0,9.6409,2.1928,6.1559,-21.4836,-93.8511,-108.2343
2221,CCn1c(C(=O)NCCc2ccc(OC)cc2)cc2sccc21,1.9,8.5119,0.5221,5.0637,-9.1748,-66.8707,-71.4518
2305,CCOc1ccc(CCNC(=O)c2cc3sccc3n2C(C)C)cc1OCC,1.7,10.8279,0.5693,6.5716,-5.1548,-84.2102,-80.4078
2352,CCOc1ccc(CCNC(=O)c2cc3sccc3n2C)cc1OCC,1.6,10.1204,0.5617,6.4321,-7.3843,-82.09,-80.8724
2373,CCOc1ccc(CCNC(=O)c2cc3sccc3n2CCN(C)C)cc1OCC,1.6,11.58,0.6022,7.3991,-2.9647,-97.554,-88.8955
