mol_idx,smiles,half-life,sdc,sdx,sa,dga,dgp,dgtot
933,O=S(=O)(Nc1ccc(-c2ccccc2)cc1)c1ccc(NCc2ccc(Br)cc2O)cc1,21.0,10.5958,2.3449,7.1431,-17.2979,-91.4038,-100.9929
2460,COc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccco2)cc1COc1ccc(NC(C)=O)cc1,1.35,13.9877,1.1885,9.7379,-21.79,-124.75,-138.1675
19,O=C(Nc1ccccc1O)c1ccc(NC(=O)C2CC2)cc1,30.0,7.7498,2.3172,6.6764,-11.7418,-85.5109,-97.2528
1272,Cc1ccnc(NC(=S)N2CCCC(Nc3cccc(C(F)(F)F)c3)C2)c1,11.0,9.8647,1.2826,7.8359,-3.6221,-97.4721,-85.3364
1552,Clc1ccccc1-c1nc(NCc2ccc(-c3cccnc3)cc2)c2ccccc2n1,6.99,9.565,0.6809,3.4475,-23.3859,-60.9373,-79.5411
681,COc1ccc2[nH]c3c(c2c1)CCNC31CCN(S(=O)(=O)c2c(C)noc2C)CC1,30.0,12.1705,1.1761,8.6278,-9.298,-114.7424,-98.535
2352,CCOc1ccc(CCNC(=O)c2cc3sccc3n2C)cc1OCC,1.6,10.1204,0.5617,6.4321,-7.3843,-82.09,-80.8724
1118,Cc1ccc(NS(=O)(=O)c2ccccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,15.0,9.152,1.9449,5.8994,-18.9137,-80.9392,-93.141
1607,CN(C)C(=O)c1nc(-c2ccc(Cl)cc2Cl)c2cnccn12,6.29,7.8654,0.0,5.5674,-9.7453,-74.1339,-60.2415
1547,CC1=C(C(=O)NCc2ccccc2)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1,7.0,10.0404,2.4107,6.3226,-21.378,-96.2799,-110.1165
1730,COc1ccc(C(=O)c2sc(Nc3cccc(Cl)c3)nc2N)cc1,5.07,6.5912,2.5231,6.0976,-12.7117,-81.4557,-93.9155
220,NC(=O)C1CCN(c2ncc(-c3cccc(N4CCOCC4)c3)s2)CC1,30.0,10.1782,1.3287,6.6616,-7.5551,-95.5578,-91.6813
1968,COc1ccccc1-c1[nH]nc2ncc(-c3ccc(C)cc3)nc12,3.0,7.1184,0.7575,3.7626,-18.1853,-59.2852,-69.9722
2467,CCc1ccc(OC(C)C(=O)N2CCC(c3nc4ccccc4o3)CC2)cc1,1.32,11.9199,0.0,6.2288,-9.7825,-81.0088,-63.0677
304,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2cncnc2)cc1,30.0,9.1483,1.667,7.9047,-10.5579,-104.4912,-103.3342
1792,CCCCc1ccc(NC(=O)c2ccc3c(c2)N(S(C)(=O)=O)CC3)cc1,4.38,10.448,0.6114,5.9514,-5.9433,-76.7961,-64.2497
663,O=C(O)c1cnc(-c2ccc(F)cc2)nc1-c1ccncc1,30.0,7.3221,1.004,6.3857,-14.763,-81.1466,-91.3548
2223,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(C(C)(C)C)cc1,1.9,9.153,0.0,2.6849,-7.0258,-49.2494,-38.7736
802,COc1nccc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)c1OC,26.0,9.739,0.6745,7.9427,-17.3734,-99.4193,-98.7278
345,COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)CN4CCN(C)CC4)cc3)c3ccccc3)c(O)[nH]c2c1,30.0,15.2994,1.3765,10.3905,-15.7767,-141.2424,-129.5742
1222,CC(C)NC(=O)N1C[C@@H]2C[C@H](C1)c1ccc(-c3cccc(C(F)(F)F)c3)c(=O)n1C2,12.46,12.0966,0.5621,9.4954,-5.6324,-110.0909,-89.5781
2378,CCOc1ccc(CCNC(=O)c2cc3ccccc3n2Cc2cccc(C)n2)cc1OCC,1.6,12.9038,0.782,6.8855,-12.631,-93.9363,-96.0433
1852,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)Nc2nc(-c3ccccc3)co2)cc1,3.9,9.6047,2.0249,7.0293,-19.3905,-92.6364,-98.5651
1357,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@@H]2[C@@]3(C)C[C@@H](c4ccoc4)OC(=O)C3CC[C@]21C,9.8,15.5464,0.0,11.7006,-2.6076,-129.9716,-103.4569
2202,O=C(NCc1ccccc1)c1nc(S(=O)(=O)Cc2ccc(F)cc2)ncc1Cl,1.98,9.6856,0.8488,7.9176,-10.0144,-95.4483,-83.6446
2340,O=C(NCCCc1ccccc1)c1cccc(-c2cc(O)c3ncccc3c2)c1,1.65,9.8543,1.3486,4.8829,-17.7194,-68.4657,-86.1851
1088,O=C1Nc2ccccc2/C1=C\c1ccc(O)c(Cl)c1,16.0,4.9447,1.7184,4.2716,-13.2827,-52.7231,-66.0058
809,N#Cc1cccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)c1,25.58,7.2846,2.3992,5.5111,-27.0485,-87.2828,-111.6454
1136,c1ccc(CNc2cc3c(cn2)CN(Cc2cccnc2)CCN3)cc1,14.96,9.6536,1.0835,4.2267,-12.9158,-76.7826,-89.6984
193,NCC(=O)Nc1cccc(-c2nn3c(=O)cc(N4CCNCC4)nc3s2)c1,30.0,8.4147,3.0961,7.8096,-11.8997,-117.3567,-116.2827
175,CN(C)C(=O)c1ccc(-c2cc[nH]c(=O)c2N)cc1,30.0,6.49,2.5426,5.7371,-8.055,-80.0474,-80.1562
811,COc1cc(CNCCO)cc(Cl)c1OCc1ccc(Cl)cc1Cl,25.52,8.0335,1.4624,7.6103,2.7764,-84.8316,-77.298
2137,COc1ccc(S(=O)(=O)N(C(=O)C(C)C)c2ccc3oc(=O)sc3c2)cc1,2.2,10.6183,0.0,8.1917,-10.0455,-94.2739,-81.4303
1504,Cc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,7.65,8.9791,1.9413,6.2219,-17.3789,-82.3158,-96.0447
2327,COc1ccc(-c2noc(CSc3nnc(Cc4ccccc4)n3-c3ccc(F)cc3)n2)cc1,1.69,11.7615,0.0,6.8815,-20.7571,-92.3559,-86.3446
1282,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(F)c(F)c1,11.0,8.7911,2.0012,8.574,-18.4901,-106.0364,-117.431
129,Cc1cccc(OCC(=O)Nc2ccc3nc(Nc4cccc(Cl)c4)cc(C)c3c2)c1,30.0,10.1671,1.3234,6.126,-16.5927,-83.6033,-95.8582
341,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,30.0,12.536,1.3916,8.3391,-11.6629,-125.2443,-118.7111
1731,CC(=O)NCCNC[C@@H]1C=C(C)[C@H](Cc2nnc(-c3ccccc3)o2)C[C@H]1C(C)C,5.06,12.035,1.0291,6.3752,1.0746,-93.4754,-72.6068
2058,Cc1cccc(-n2cnc3cc(C(=O)N4CCC(Br)CC4)ccc32)c1,2.5,9.8491,0.0,5.3362,-10.9473,-70.5968,-66.7251
1519,COc1ccc(NC(=O)c2ccc[nH]2)cc1[S+](=O)([O-])Nc1ccc(Br)cc1,7.44,8.3657,2.4554,8.7612,-10.7352,-105.1878,-109.1948
308,Clc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,30.0,7.3833,1.18,4.7789,-10.551,-76.7771,-77.8161
384,COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1,30.0,8.7747,1.5553,5.9207,-15.7952,-85.1994,-97.2294
1837,COC(=O)c1ccc([C@H]2c3[nH]c4ccccc4c3C[C@H](C(=O)OC)N2C(=O)CCl)cc1,4.02,12.6564,0.6617,9.8286,-12.8548,-116.7917,-96.7828
2345,Cc1cccc(-n2nc(C)c3c2NC(=O)CSC3c2ccccc2Cl)c1,1.63,8.6745,0.9013,4.9182,-12.2904,-66.6475,-73.8874
790,O=C(NCc1cccnc1)c1nc(-c2ccc(Cl)nc2)c2cnccn12,26.6,8.4239,0.7397,5.8273,-18.0586,-90.0162,-95.0888
178,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,30.0,8.6772,0.0,5.3336,-14.9974,-77.9814,-71.4766
427,O=C(Cc1nc2ccc(Cl)cc2[nH]1)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,30.0,7.942,2.5842,7.5996,-16.7785,-104.6118,-116.7541
2208,COc1ccc(CN2CCc3c(c(=O)n4ncc(C(=O)N5CCN(c6ccccc6OC)CC5)c4n3C)C2)cc1,1.97,16.4691,0.0,9.9964,-18.0021,-135.8451,-128.0727
2457,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,1.37,7.3115,0.0,2.2709,-4.0547,-38.9112,-41.5045
782,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC,27.2,9.9464,0.5935,6.2413,-19.1376,-85.548,-95.7573
1352,Fc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,9.82,7.6537,0.6382,5.6499,-18.75,-75.5349,-86.9613
185,Cc1noc(C)c1-c1csc(N2CCC(C(N)=O)CC2)n1,30.0,8.1054,1.4267,5.9078,-6.1256,-84.6214,-79.4967
1059,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccncc3)cs2)cc1,17.0,9.3239,2.1409,6.9129,-19.032,-100.2809,-113.8142
2046,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,2.55,8.904,1.2944,4.7276,-1.2942,-61.6387,-62.9329
2097,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,2.36,7.0872,1.4965,3.5912,-7.8884,-43.5743,-51.4627
701,COc1ccc(-n2nc(C3CCCN(C(=O)c4ccccc4F)C3)[nH]c2=O)cc1,30.0,11.3504,0.7722,8.4748,-13.0721,-106.2075,-103.2979
1585,Clc1ccccc1CSc1nc2ncc(Br)cc2[nH]1,6.5,5.2108,0.7622,3.8162,-7.9635,-51.9597,-53.9909
2224,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(Cl)cc1,1.9,8.465,0.0,3.5902,-9.8302,-55.5996,-48.8956
2026,CC(C)Oc1ccc(CCNC(=O)c2cc3sccc3n2Cc2ccccc2)cc1OC(C)C,2.7,11.9203,0.5102,6.3096,-10.8321,-81.9665,-84.2746
490,Cc1ccc([S+](=O)([O-])n2cc(-c3ccc(-c4ccccc4)cc3)c3ccccc32)cc1,30.0,10.3502,0.0,3.9779,-22.4272,-47.7916,-51.5578
757,Nc1nc2c(s1)C(c1ccc(F)c(F)c1)CC(=O)N2,29.66,4.2381,2.8465,6.0217,-9.9659,-74.1176,-82.9607
1819,CCOc1ccc(C2C(C(=O)Nc3ccccc3OC)=C(C)Nc3c(C(=O)Nc4cccc(C)c4)cnn32)cc1,4.18,13.8461,2.3152,9.8846,-21.2222,-133.5029,-151.8777
2284,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1,1.73,7.7068,0.0,2.4174,-0.2608,-35.4537,-31.3749
860,CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,23.41,13.7893,2.9066,9.4966,-8.2454,-134.2439,-137.1759
2354,COc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccco2)cc1,1.6,9.4599,0.6615,6.0458,-17.0229,-78.7051,-86.5382
2408,C=Cc1ccc(C(=O)N2CCCC(CCC(=O)N3CCN(c4ccccn4)CC3)C2)cc1,1.5,14.1452,0.0,6.5202,-7.8538,-93.828,-77.9415
1961,Cc1ccc(S(=O)(=O)Nc2ccc(F)cc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,3.0,9.5525,2.0683,7.3648,-18.1627,-92.826,-106.4764
119,Cn1c(CN2CCCCC2)nc2cc(NC(=O)c3cccc(Br)c3)ccc21,30.0,9.5951,0.624,5.8906,-8.7214,-82.8292,-77.8396
1601,Oc1ccc(CNc2cccc(F)c2F)c2cccnc12,6.35,5.9418,1.9615,5.8045,-12.113,-68.6532,-78.4635
282,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccon2)cc1,30.0,7.9421,1.7936,7.5743,-10.4502,-94.2844,-96.1595
2214,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1.95,12.1064,0.0,6.4831,-1.338,-92.7011,-67.4629
747,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,30.0,11.7068,0.8722,6.705,-15.8218,-101.0888,-103.278
1890,CCOc1ccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NC4CCC(C)CC4)cc32)cc1,3.52,13.1967,0.5144,7.0727,-12.8824,-91.8257,-96.5147
1166,N#Cc1cccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)c1,14.0,9.0219,2.1193,6.6691,-24.9859,-97.801,-118.5968
1849,Cc1c(O)ccc2c1OC(C)(C)CC2,3.9,5.0911,0.6872,3.3966,-1.633,-38.4873,-40.1203
2305,CCOc1ccc(CCNC(=O)c2cc3sccc3n2C(C)C)cc1OCC,1.7,10.8279,0.5693,6.5716,-5.1548,-84.2102,-80.4078
367,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4s3)cc2)c1O,30.0,9.3594,2.3813,7.4682,-17.5286,-98.8103,-110.5358
1395,CCCN1C(CC(C)C)=NS(=O)(=O)c2cc(NC(=O)c3ccco3)ccc21,9.21,10.0596,0.865,7.529,-6.2843,-96.9175,-77.2472
556,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,30.0,10.0123,1.6076,8.6943,-8.3286,-105.3369,-113.6656
2074,Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1C,2.42,7.729,2.003,5.014,-9.4753,-76.9267,-80.9979
1326,O=C1CCC(C(=O)N2CCSCC2)CN1Cc1ccc(Cl)cc1,10.0,10.7259,0.0,6.6451,-0.4901,-81.586,-64.1847
839,COc1ccc(Cl)cc1C(=O)Nc1nc(-c2ccccc2)cs1,24.0,6.7707,1.0127,4.8757,-12.5251,-61.5858,-74.1713
1322,O=C(NC1CCCc2c1[nH]c1ccccc21)c1ccccc1,10.07,6.9186,1.2404,3.3712,-14.7852,-50.8762,-65.6614
204,CC(C)Oc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1,30.0,9.2923,1.2995,6.0623,-5.2241,-84.4729,-81.348
1739,COc1ccc(NC(=O)C23CC4CC(CC(C4)C2)C3)cc1[S+](=O)([O-])Nc1ccc(Br)cc1,5.0,11.6119,1.4197,9.1929,-10.9609,-105.1102,-107.302
121,Cc1ccc(C(=O)Nc2nc3nc(C)cc(=O)n3[nH]2)cc1,30.0,6.0258,1.7773,5.3278,-13.1874,-75.6963,-79.3184
284,Cc1cc(N[S+](=O)([O-])c2ccc(NC(=O)Cc3ccc(F)c(F)c3)cc2)no1,30.0,9.4447,1.6714,10.0827,-9.7687,-112.1366,-109.3876
576,O=C(NC1CC1)c1nc(-c2cccnc2)c2cnccn12,30.0,7.3684,0.8344,5.0223,-16.0425,-78.3394,-81.3883
1375,CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)sc2cccc(OC)c21,9.5,12.5848,0.0,7.8018,-8.592,-99.8204,-75.4882
1568,COc1cccc(CNc2ccc(S(=O)(=O)Nc3ccccc3)cc2)c1O,6.7,9.5098,2.6141,7.5714,-12.6157,-96.952,-101.0626
276,COc1ccnc(NC(=S)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)c1,30.0,10.9633,0.7323,11.1096,-1.5857,-121.4429,-101.2091
1709,Oc1ccc(-c2nc(C3CC3)nc3c2CCN(CC2CCCCC2)CC3)cc1,5.28,9.9532,0.6522,4.3623,-6.0444,-67.2821,-66.4955
2130,COc1ccccc1-c1nnc2sc(-c3ccc(N(C)C)cc3)nn12,2.24,7.9678,0.0,3.905,-16.8758,-62.1037,-67.6522
361,COc1ccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)cc1O,30.0,8.2937,2.5012,7.3901,-12.1347,-97.0804,-103.3652
1657,O=C1Nc2ccc(-c3cccc(C(F)(F)F)c3)cc2C(=O)N2CCN(C(=O)COc3ccccc3)C[C@H]12,5.73,14.4624,0.8586,11.7072,-17.1122,-133.6035,-117.581
813,NC(=O)C1CCN(c2nc(-c3ccccc3N)cs2)CC1,25.27,7.1553,2.5229,5.4804,-8.3215,-84.4422,-85.7938
2451,CN(C(=O)COC(=O)c1csc(NCc2ccccc2)n1)c1ccccc1,1.4,10.5646,0.7709,6.5908,-12.6179,-88.8822,-75.3569
630,COc1ccc(-c2ccc3ncc(Nc4ccc(C(N)=O)cc4)n3n2)cc1OC,30.0,9.3074,2.4207,7.622,-19.4038,-107.6644,-114.5327
1971,FC(F)(F)c1ccccc1-c1nc(NCc2cccc(Cl)c2)c2ccccc2n1,2.97,8.841,0.7343,6.6294,-13.9309,-77.2824,-75.9286
1489,c1ccc(-c2ccc(CNc3nc(-c4ccccn4)nnc3-c3ccccc3)cc2)cc1,7.73,10.1961,0.6516,3.3361,-25.3569,-63.3855,-75.543
287,CCCCC1CCC(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)CC1,30.0,9.9235,1.4914,6.4262,-1.7565,-86.7789,-82.3225
904,COc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1NS(C)(=O)=O,22.0,10.4505,1.7094,7.6211,-17.9285,-108.7299,-114.3122
1095,O=c1c2c([nH]c3ccc(Br)cc13)CCCC2,15.87,5.1727,0.6296,3.5894,-7.0977,-43.8305,-50.9282
945,COc1cc(-c2nc(Cn3nnc(C(=O)Nc4cc(C)cc(C)c4)c3C)c(C)o2)cc(OC)c1OC,20.55,13.9462,0.6097,9.7555,-13.8038,-127.0036,-110.8148
