Unnamed: 0,RLM,HLC,3A4
29,C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl,COC1=CN=CC(=C1)NC2=NC=C(C3=C2OCC3)C4=CC(=CC=C4)F,COc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1
30,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3N4CCC(CC4)C(=O)O,C1COC2(CCN(CC2)CC3=CC=CC=C3C#N)CC1O,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1
31,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CSC=C3,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
32,C[C@@H]1C[C@@H](C(NC1)[C@H](C)C2=C(C3=C(C=C2)[C@@H]4CC=C5C[C@H](CC[C@@]5([C@@H]4C3)C)O)C)O,CNC(=O)[C@@H]1CN(C[C@H]1COC)C(=O)C2=CC=CC(=C2)C#N,COc1cc(F)cc([C@H](NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)C(C)O)c1
33,C1=CC=C(C=C1)CSC[C@@H](C(=O)O)N,CC1=C(C(=NO1)C)C2=CC(=CN3C2=CN=C3)C4=CC(=CC=C4)F,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnn5C)ncc4Cl)cc3C2=O)c1
34,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)NCCO,CC1=C(SC=C1)C2=C3C(=NN2)N=CC(=N3)C4=CC(=CC=C4)F,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
35,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],C1CN(CCC1N2CCNC2=O)CC3=CC=C(C=C3)C#N,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCNC(=O)c4ccc5c(c4)nc(Nc4cccc(Cl)c4)c4ccncc45)c3C2=O)C(=O)N1
36,CC1(C=CC2=C3C(=C(C(=C2O1)CCC(=O)O)OC)C=CC(O3)(C)C)C,C1COC[C@H](N1CC2=CC(=CC=C2)C#N)C3=NC=C(N3)C4=CC=C(C=C4)F,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1
37,CC(=CCNC1=NC=NC2=C1NC=N2)C,C1CC1NC(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1
38,CC1=NC(=NC2=CC=CC=C12)N,C1=CC(=CC(=C1)F)NC2=NC3=C(C=C2)N=CN(C3=O)C4=CN=CC=C4,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
39,C1=NC(=C2C(=N1)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@@H](O3)CO)O)N)N,C1CN(C2=CC=CC=C21)C3CN(C3)CC4=CC=C(C=C4)C#N,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
40,C1=CNC(=C1)C(=O)C2=C(C=CC(=C2)Cl)NC(=O)CN,CCOC1=CC(=O)N2CCCCC2=C1C(=O)NC3=CC=C(C=C3)C#N,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5COC5)ncc4Cl)cc3C2=O)c1
41,C[C@@H](CCC[C@H]1[C@@H]2[C@@H](CS1)NC(=O)N2)C(=O)O,C1CCN(CC1)C(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
42,CN1CCC2=CC(=C3C4=C2[C@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@H]7C8=CC(=C(O3)C=C8CCN7)O4)OC)OC,C1[C@H]([C@@H](CN1CC2=CC=C(C=C2)C#N)C3=CC=NC=C3)CO,CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(OC(C)C)O[C@H]2[C@@]1(C)F
43,C1=C(C=C(C(=C1Br)O)Br)C[C@@H](C(=O)O)N,COCCNC1=NC=NC2=C1CCN(CC2)C(=O)C3=CSC=N3,O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
44,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,CN1C=NC2=C(C1=O)N=C(C=C2)NC3=CC(=CC=C3)F,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ncc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1
45,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,CC1=CC=CC=C1C2=C3C(=NN2)N=CC(=N3)C4=CC=CC=C4C#N,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)C(C)(C)C)cc1
46,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,C1COCCN1C2=CC(=O)C3=C(O2)C(=NC=C3)C4=CC(=CC=C4)F,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
47,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O.Br,C1COCCN1C(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1
48,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,C1CN(C[C@H]1C2=NC3=CC=CC=C3N2)CC4=CC(=CC=C4)C#N,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnc(OC)c5)ncc4Cl)cc3C2=O)c1
49,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,C1COCC(=O)N1C2=CC(=CN3C2=CN=C3)C4=CC(=CC=C4)F,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4ccnc(NC5CCOCC5)n4)cc3C2=O)c1
50,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,C1COC[C@@H](CN1C(=O)C2=CC=C(C=C2)C#N)OC3=NC=CN=C3,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
51,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CCN1CCN(CC1)C(=O)C2=C(N3C=CSC3=N2)C4=CC=CC(=C4)C#N,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1
52,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)SCCO)SCCO,C1CN(CC1OC2=CN=CC=C2)C(=O)C3=CC(=CC=C3)F,Cc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1
53,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,COCCOC1CCN(CC1)C(=O)NC2=CC(=CC=C2)F,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCOCCOCCNc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2
54,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)I)O,CN1C=NC2=C1CN([C@@H](C2)C(=O)OC)C(=O)C3=CC=C(C=C3)C#N,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1
55,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,COCCNC(=O)C1=C(N2C=CSC2=N1)C3=CC=CC(=C3)C#N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
56,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,C[C@]1(CCN(C[C@H]1N2CCCC2)CC3=CC=C(C=C3)C#N)O,Cc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1
57,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,C1CN(CCC1N2CCOC2=O)CC3=CC=C(C=C3)C#N,O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCCCCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O
58,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,C1COC2=C1C(=CN=C2NC3=CN=CC=C3)C4=CC(=CC=C4)F,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(N[C@@H](C)CO)ncc4Cl)cc3C2=O)c1
59,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,C1CN(CC12NC(=O)C3=CC=CC=C3O2)CC4=CC=C(C=C4)C#N,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(F)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O
60,CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1[C@H](O1)C(=O)O,C1CN(CCC12CC(=O)C3=CC=CC=C3O2)CC4=CC=C(C=C4)C#N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(=O)n(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1
61,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,C1CC2CN(CC1N2CC(F)(F)F)C3=CN=CC(=C3)C#N,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(C#N)cn2)CC1
62,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,CCOCCOC1CCN(CC1)C(=O)NC2=CC(=CC=C2)F,COc1cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)ccn1
63,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,C1C[C@@H]2C3CC(CN(C3)C(=O)N4CCN(CC4)[S+](=O)(C5=CC=CC(=C5)F)[O-])CN2C(=O)C1,COc1cc(F)cc([C@@H](CO)NC(=O)CN2C(=O)c3cc(-c4nc(NC5CCOCC5)ncc4Cl)ccc3[C@H]2C)c1
64,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CC=NC=C3,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(OCCN(C)C)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O
65,C1CN(CC=C1C2=CC=CC=C2)CCCCC3=CNC4=C3C=C(C=C4)O,CN(CC1CCOC1)C(=O)NC2=CC(=CC=C2)F,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1
66,CC1(C2=C(C3=CC=CC=C3C(=O)C2=O)NC1=O)C,C1COC2=C1C(=CN=C2NC(=O)C3=CC=NC=C3)C4=CC(=CC=C4)F,O=C(CN1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O)N1CCc2ccccc2CC1
67,C1=COC(=C1)CNC(=O)C2=NN3C(=CC(=NC3=N2)C4=CC=CS4)C(F)(F)F,CN(C)[C@@H]1CN(C[C@H]1CO)C(=O)C2=CC=C(C=C2)C#N,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1
68,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=C(C=C4)F,COC1=CC=C(C=C1)OC2CN(C2)CC3=CC=C(C=C3)C#N,C[C@H](C(=O)N[C@H](CO)c1cccc(N2CCN(C)CC2)n1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O
69,C1CN(CCN1C2=CC=C(C=C2)O)C(=O)C3=CC4=CC=CC=C4C=C3,CC1=NN=C(O1)[C@H]2CCN(C2)CC3=CC=C(C=C3)C#N,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5cnn(C)n5)ncc4Cl)cc3C2=O)c1
70,C1COCCN1C2=C(C=C(C=C2)C(F)(F)F)NC(=O)C3=NNC(=O)C4=CC=CC=C43,C1CN(CCC1N2CC3=CC=CN3C2=O)CC4=CC=C(C=C4)C#N,
71,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCC(=O)O,C1CN2C=C(N=C2N(C1)C(=O)C3=CC=CS3)C4=CC=CC(=C4)C#N,
72,C1=CC=NC(=C1)S(=O)(=O)C2=CC=C(C=C2)Cl,CN1CCC(CC1)OC2CCN(CC2)C(=O)C3=CC(=CC=C3)F,
73,CCCCCN1C(=O)C2=C(C=C(C=C2)C(=O)NCCCN3CCCCC3)NC1=O,CC1=NOC(=N1)C2=CN(N=N2)C3CCN(C3)C(=O)C4=CC(=CC=C4)F,
74,COC1=CC=C(C=C1)CN2C(=O)C3=C(C=C(C=C3)C(=O)NCCCN4CCCCC4)NC2=O,C1CN(C[C@H]1C2=NN=C(O2)C3=CC=CO3)CC4=CC(=CC=C4)C#N,
75,C1CC2=NC3=CC=CC=C3C(=O)N2C1,C1CN2C=C(N=C2N(C1)C(=O)C3=COC=C3)C4=CC=CC(=C4)C#N,
76,CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CS(=O)CC(=O)N3CCC4(CC3)OCCO4,C1CN(CC1OC2=CC(=CC=C2)F)C(=O)C3=CN=CC=C3,
77,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=NN=C(S3)COC4=CC=C(C=C4)Cl,C1=CC(=CC(=C1)F)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)O)C=N2,
78,C1CCN(C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3F,C1=CC(=CC(=C1)F)CN2C3=C(C=CC(=C3)C(=O)O)N4C(=CC=N4)C2=O,
79,C1OC2=C(O1)C=C(C=C2)C3NN4C(=NN=C4S3)C5=CC=CC=C5,C1CN(CCC(=O)NCCOC1)C(=O)C2=CC=C(C=C2)C#N,
80,C1CCC(CC1)C2=NN=C(S2)NC(=O)C3=CC=C(S3)Br,CN1C2CCCCN2C(=O)C3=C1C=C(C=C3)C(=O)NC4=CC=C(C=C4)C#N,
81,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,CCN1CCN(CC1)C(=O)CC2=CC=CN2C3=CC=C(C=C3)F,
82,COC1=CC2=C(C=C1)NC(=O)C(=C2)C3=NOC(=N3)C4=CC=CC=C4,CCN1CCN(CC1)C(=O)C2=CC(=NC3=C2C=NN3C)C4=CC=C(C=C4)F,
83,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,CCN1CCN(CC1)C(=O)C2=NN3C=NN=C3C(=C2)C4=CC=CC=C4OC,
84,COCCNC(=O)C1=CC=C(C=C1)CN2C(=O)C3=CC4=C(C=C3NC2=S)OCO4,CCN1CCN(CC1)C(=O)C2=CC(=NC3=C2C=NN3C)C4=CN=CC=C4,
85,CC1=CC=CC=C1C2=NC(=C(O2)C)CN3CCC(CC3)C(=O)NCCCN4CCOCC4,CCN1CCN(CC1)C(=O)C2=CN3C=CN=C3C=C2,
